abundance,year,latitude,longitude,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species,tmax,tmin,n,lat,long,mean_summer_sst_degC
9,2006,45.436501,-60.148334,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
7,2005,45.3195,-59.793585,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1997,43.71875,-63.791166,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
3,2005,47.178083,-60.075665,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,1997,44.8825,-60.966581,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2000,44.06583,-63.775585,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,1996,44.658165,-65.985664,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2003,43.525665,-62.608671,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2000,43.186165,-63.643335,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
19,2008,41.27467,-68.599915,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,2005,43.10425,-62.849751,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
38,2005,46.927914,-60.164,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
15,2008,44.938581,-65.680084,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
14,2005,45.089167,-66.103329,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,2005,42.631834,-65.896832,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2006,43.51792,-60.280081,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
26,2000,44.852165,-66.646416,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
9,1999,42.787331,-65.728168,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
5,2005,44.781586,-58.702751,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
13,1997,44.393499,-61.105169,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
13,1998,45.098166,-66.284664,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
8,2000,41.860416,-66.120831,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
6,2000,44.51075,-60.058165,Temperate,Clupea harengus,GBIF:8351946,Clupea harengus,Chordata,Clupeiformes,Actinopterygii,Clupeidae,Clupea,harengus,21.1,NA,20,45.09,-66.96,NA
