input_name,db,acc_id,acc_name,kingdom,phylum,order,class,family,genus,syn_id,syn_name
Basiliscus vittatus,gbif,GBIF:5221821,Basiliscus vittatus,Animalia,Chordata,Squamata,Reptilia,Corytophanidae,Basiliscus,NA,NA
Sphenomorphus incognitus,gbif,GBIF:2464322,Sphenomorphus incognitus,Animalia,Chordata,Squamata,Reptilia,Scincidae,Sphenomorphus,NA,NA
Anolis gundlachi,gbif,GBIF:2467411,Anolis gundlachi,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Hemidactylus frenatus,gbif,GBIF:9537238,Hemidactylus frenatus,Animalia,Chordata,Squamata,Reptilia,Gekkonidae,Hemidactylus,NA,NA
Lepidodactylus lugubris,gbif,GBIF:9164170,Lepidodactylus lugubris,Animalia,Chordata,Squamata,Reptilia,Gekkonidae,Lepidodactylus,NA,NA
Sphaerodactylus gaigeae,gbif,GBIF:2445256,Sphaerodactylus gaigeae,Animalia,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,NA,NA
Sphaerodactylus klauberi,gbif,GBIF:2445297,Sphaerodactylus klauberi,Animalia,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,NA,NA
Sphaerodactylus macrolepis,gbif,GBIF:2445319,Sphaerodactylus macrolepis,Animalia,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,NA,NA
Sphaerodactylus nicholsi,gbif,GBIF:2445208,Sphaerodactylus nicholsi,Animalia,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,NA,NA
Sphaerodactylus roosevelti,gbif,GBIF:2445254,Sphaerodactylus roosevelti,Animalia,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,NA,NA
Sphaerodactylus townsendi,gbif,GBIF:2445401,Sphaerodactylus townsendi,Animalia,Chordata,Squamata,Reptilia,Sphaerodactylidae,Sphaerodactylus,NA,NA
Anolis cristatellus,gbif,GBIF:2467091,Anolis cristatellus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis cooki,gbif,GBIF:2467134,Anolis cooki,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Sceloporus grammicus,gbif,GBIF:2451167,Sceloporus grammicus,Animalia,Chordata,Squamata,Reptilia,Phrynosomatidae,Sceloporus,NA,NA
Cyrtodactylus philippinicus,gbif,GBIF:5960166,Cyrtodactylus philippinicus,Animalia,Chordata,Squamata,Reptilia,Gekkonidae,Cyrtodactylus,NA,NA
Lipinia pulchella,gbif,GBIF:2461231,Lipinia pulchella,Animalia,Chordata,Squamata,Reptilia,Scincidae,Lipinia,NA,NA
Parvoscincus decipiens,gbif,GBIF:7752278,Parvoscincus decipiens,Animalia,Chordata,Squamata,Reptilia,Scincidae,Parvoscincus,NA,NA
Pinoyscincus abdictus,gbif,GBIF:8117408,Pinoyscincus abdictus,Animalia,Chordata,Squamata,Reptilia,Scincidae,Pinoyscincus,NA,NA
Pinoyscincus jagori,gbif,GBIF:7744369,Pinoyscincus jagori,Animalia,Chordata,Squamata,Reptilia,Scincidae,Pinoyscincus,NA,NA
Anolis cupreus,gbif,GBIF:2467634,Anolis cupreus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis humilis,gbif,GBIF:2467976,Anolis humilis,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis lemurinus,gbif,GBIF:8186516,Anolis lemurinus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis limifrons,gbif,GBIF:8967857,Anolis limifrons,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis lionotus,gbif,GBIF:2467925,Anolis lionotus,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Anolis tropidolepis,gbif,GBIF:2467783,Anolis tropidolepis,Animalia,Chordata,Squamata,Reptilia,Dactyloidae,Anolis,NA,NA
Lepidophyma flavimaculatum,gbif,GBIF:2451749,Lepidophyma flavimaculatum,Animalia,Chordata,Squamata,Reptilia,Xantusiidae,Lepidophyma,NA,NA
Sceloporus malachiticus,gbif,GBIF:2451207,Sceloporus malachiticus,Animalia,Chordata,Squamata,Reptilia,Phrynosomatidae,Sceloporus,NA,NA
Sceloporus variabilis,gbif,GBIF:2451285,Sceloporus variabilis,Animalia,Chordata,Squamata,Reptilia,Phrynosomatidae,Sceloporus,NA,NA
Thamnophis melanogaster,gbif,GBIF:2457500,Thamnophis melanogaster,Animalia,Chordata,Squamata,Reptilia,Colubridae,Thamnophis,NA,NA
Macrobrachium acanthurus,gbif,GBIF:2224765,Macrobrachium acanthurus,Animalia,Arthropoda,Decapoda,Malacostraca,Palaemonidae,Macrobrachium,NA,NA
Callinectes danae,gbif,GBIF:2225650,Callinectes danae,Animalia,Arthropoda,Decapoda,Malacostraca,Portunidae,Callinectes,NA,NA
Armases ricordi,gbif,GBIF:2225745,Armases ricordi,Animalia,Arthropoda,Decapoda,Malacostraca,Sesarmidae,Armases,NA,NA
Clibanarius antillensis,gbif,GBIF:2224450,Clibanarius antillensis,Animalia,Arthropoda,Decapoda,Malacostraca,Diogenidae,Clibanarius,NA,NA
