tmax,tmin,n,lat,long,region,th_genus_species,sp_id,input_name,phylum,order,class,family,genus,species
39,NA,NA,35.72,-78.69,Temperate,Pachycondyla chinensis,GBIF:1319870,Pachycondyla chinensis,Arthropoda,Hymenoptera,Insecta,Formicidae,Pachycondyla,chinensis
44,NA,NA,42.51,-72.21,Temperate,Protomognathus americanus,GBIF:1323090,Protomognathus americanus,Arthropoda,Hymenoptera,Insecta,Formicidae,Protomognathus,americanus
40,NA,NA,36.04,-79.07,Temperate,Stenamma impar,GBIF:1316649,Stenamma impar,Arthropoda,Hymenoptera,Insecta,Formicidae,Stenamma,impar
43,NA,NA,42.51,-72.21,Temperate,Temnothorax longispinosus,GBIF:9840903,Temnothorax longispinosus,Arthropoda,Hymenoptera,Insecta,Formicidae,Temnothorax,longispinosus
50.4,NA,27,37.2,-3.6,Temperate,Proformica ferreri,GBIF:1321620,Proformica ferreri,Arthropoda,Hymenoptera,Insecta,Formicidae,Proformica,ferreri
46.8,NA,36,47.3,8.7,Temperate,Formica polyctena,GBIF:1315169,Formica polyctena,Arthropoda,Hymenoptera,Insecta,Formicidae,Formica,polyctena
46.1,12,20,36.68,-108.31,Temperate,Myrmecocystus romainei,GBIF:1316765,Myrmecocystus romainei,Arthropoda,Hymenoptera,Insecta,Formicidae,Myrmecocystus,romainei
33.5,7.1,40,24.3,123.8,Temperate,Drosophila bipectinata,GBIF:5074478,Drosophila bipectinata,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,bipectinata
32.6,-4.5,40,43.1,141.4,Temperate,Drosophila curvispina,GBIF:5073768,Drosophila curvispina,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,curvispina
35.4,-5.5,40,43.1,141.4,Temperate,Drosophila kanekoi,GBIF:5074655,Drosophila kanekoi,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,kanekoi
34.3,-4.5,40,43.1,141.4,Temperate,Drosophila nigromaculata,GBIF:5073872,Drosophila nigromaculata,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,nigromaculata
32.9,0.6,40,35.5,139.7,Temperate,Drosophila rufa,GBIF:5073878,Drosophila rufa,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,rufa
32.3,-3.5,40,43.1,141.4,Temperate,Drosophila unispina,GBIF:5073416,Drosophila unispina,Arthropoda,Diptera,Insecta,Drosophilidae,Drosophila,unispina
34.2,8.3,40,24.3,123.8,Temperate,Scaptodrosophila dorsocentralis,GBIF:1561668,Scaptodrosophila dorsocentralis,Arthropoda,Diptera,Insecta,Drosophilidae,Scaptodrosophila,dorsocentralis
